"ID","state","state_abbr","reg_rule_abbr","reg_indicator","reg_x","n_id","n_rule","n_type","n_state","reg_type","reg_type_label","reg_rule","reg_rule_label","reg_action","reg_action_label","reg_body","reg_body_label","code_univ_cite","code_state","code_label","code_annotated","code_division","code_section","code_section1","code_section2","code_text","notes","code_year_enacted","code_change_year","code_change_type","section_original","v0","v1","section_code_re","section1","first_element","IDx","idn","id1","id2","id3","id4","type_body_combined","ALLSECTXT"
"AL-BIFURCD-BIFURC-NS-001","Alabama","AL","BF","No",1,1,1,2,42,"BIFURCD","Bifurcation of charitable regulatory body","BIFURC","Bifurcated Regulatory Structure","REQMNT","requirement","NS","Not Specific","AL Code § 13A-9-70",,"Code","no",,"{SS}: 13A-9-70","{SS}: 13A-9-70","",,"No Alabama Code § 13A-9-70 et seq.",,,,,,,,,,"AL-BIFURCD-BIFURC-NS",1,"1","1","id-al-001","id-1","Bifurcated","{SS}: 13A-9-70"
"AL-BIFURCD-REGIOF-NS-001","Alabama","AL","RE",,1,1,1,2,42,"BIFURCD","Bifurcation of charitable regulatory body","REGIOF","Registration Office","REQMNT","requirement","NS","Not Specific","",,"Code","no",,"","","",,"Office of the Alabama Attorney General (Consumer Protection Division) http://www.ago.state.al.us/Page-Consumer-Protection-Consumer-Charities",,,,,,,,,,"AL-BIFURCD-REGIOF-NS",1,"2","2","id-al-002","id-2","Registration Office",""
"AL-REPORTS-ASSETS-AG-001","Alabama","AL","SA","No",1,1,2,7,42,"REPORTS","Notice, Filing or Review of Transactions","ASSETS","Sale of Assets","REQMNT","requirement","AG","Attorney General","",,"Code","no",,"","","",,"No",,,,,,,,,,"AL-REPORTS-ASSETS-AG",1,"3","3","id-al-003","id-3","Sale of Assets - AG",""
"AL-REPORTS-ASSETS-OT-001","Alabama","AL","SA","No",1,1,2,7,42,"REPORTS","Notice, Filing or Review of Transactions","ASSETS","Sale of Assets","REQMNT","requirement","OT","Other","",,"Code","no",,"","","",,"No",,,,,,,,,,"AL-REPORTS-ASSETS-OT",1,"4","4","id-al-004","id-4","Sale of Assets - Other",""
"AL-REPORTS-MERGER-AG-001","Alabama","AL","MG","No",1,1,2,7,42,"REPORTS","Notice, Filing or Review of Transactions","MERGER","Mergers","REQMNT","requirement","AG","Attorney General","",,"Code","no",,"","","",,"No",,,,,,,,,,"AL-REPORTS-MERGER-AG",1,"5","5","id-al-005","id-5","Mergers - AG",""
"AL-REPORTS-MERGER-OT-001","Alabama","AL","MG","Yes",1,1,2,7,42,"REPORTS","Notice, Filing or Review of Transactions","MERGER","Mergers","REQMNT","requirement","OT","Other","AL Code § 10A-3-5.04 ;; INDEX.HTML","alabama","Code","no","10A-3-5-04","{SS}: 10A-3-5.04 ;; INDEX.HTML","{SS}: 10A-3-5.04","{SS}: INDEX.HTML","Section 10A-3-5.04Articles of merger or consolidation. (a) Upon the approval, articles of merger or articles of consolidation shall be executed for each nonprofit corporation by its president or a vice president, and by its secretary or an assistant secretary, and verified by one of the officers signing the articles, and shall set forth: (1) The plan of merger or the plan of consolidation. (2) If the members of any merging or consolidating nonprofit corporation are entitled to vote thereon, then as to each the nonprofit corporation (i) a statement setting forth the date of the meeting of members at which the plan was adopted, that a quorum was present at the meeting, and that the plan received at least two-thirds of the votes entitled to be cast by members present or represented by proxy at the meeting, or (ii) a statement that the amendment was adopted by a consent in writing signed by all members entitled to vote with respect thereto. (3) If any merging or consolidating nonprofit corporation has no members, or no members entitled to vote thereon, then as to each nonprofit corporation a statement of the fact, the date of the meeting of the board of directors at which the plan was adopted and a statement of the fact that the plan received the vote of a majority of the directors in office. (4) As to each nonprofit corporation incorporated under the law of Alabama, the county in which its certificate of formation or other comparable charter document is filed. (b) The articles of merger or articles of consolidation and the additional number of copies as may be required for purposes of Section 10A-1-4.02 shall be delivered to the Secretary of State for filing pursuant to Section 10A-1-4.02. (Acts 1984, No. 84-290, p. 502, ss44; ss10-3A-103; amended and renumbered by Act 2009-513, p. 967, ss187.)","Filing with Sec. of State, Ala. Code § 10A-3-5.04",,,,,,,,,,"AL-REPORTS-MERGER-OT",1,"6","6","id-al-006","id-6","Mergers - Other","10A-3-5-04 ;; {SS}: 10A-3-5.04 ;; {SS}: INDEX.HTML"
"AL-REPORTS-AMMEND-AG-001","Alabama","AL","CA","No",1,1,2,7,42,"REPORTS","Notice, Filing or Review of Transactions","AMMEND","Certificate of Amendments","REQMNT","requirement","AG","Attorney General","AL Code § 13A-9-71(e)",,"Code","no",,"{SS}: 13A-9-71(e)","{SS}: 13A-9-71(e)","",,"No, but if required to register (in order to solicit) must notify AG of all changes. Ala. Code § 13A-9-71(e)",,,,,,,,,,"AL-REPORTS-AMMEND-AG",1,"7","7","id-al-007","id-7","Certificate of Amendments - AG","{SS}: 13A-9-71(e)"
"AL-REPORTS-AMMEND-OT-001","Alabama","AL","CA","Yes",1,1,2,7,42,"REPORTS","Notice, Filing or Review of Transactions","AMMEND","Certificate of Amendments","REQMNT","requirement","OT","Other","AL Code § 10A-1-4.02",,"Code","no",,"{SS}: 10A-1-4.02","{SS}: 10A-1-4.02","",,"If the name of the entity is altered, must file with the judge of probate and with the Sec. of State, Ala. Code § 10A-1-4.02; Restated Certificate of Formation filed with judge of probate, Ala. Code Sec. 10A-3-4.04",,,,,,,,,,"AL-REPORTS-AMMEND-OT",1,"8","8","id-al-008","id-8","Certificate of Amendments - Other","{SS}: 10A-1-4.02"
"AL-DISSOLV-VOLUNT-AG-001","Alabama","AL","VD","No",1,1,2,4,42,"DISSOLV","Notice or Action for Dissolutions","VOLUNT","Voluntary Dissolutions","REQMNT","requirement","AG","Attorney General","",,"Code","no",,"","","",,"No",,,,,,,,,,"AL-DISSOLV-VOLUNT-AG",1,"9","9","id-al-009","id-9","Voluntary Dissolutions - AG",""
"AL-DISSOLV-VOLUNT-OT-001","Alabama","AL","VD","Yes",1,1,2,4,42,"DISSOLV","Notice or Action for Dissolutions","VOLUNT","Voluntary Dissolutions","REQMNT","requirement","OT","Other","AL Code § 10A-3-7.06 ;; INDEX.HTML","alabama","Code","no","10A-3-7-06","{SS}: 10A-3-7.06 ;; INDEX.HTML","{SS}: 10A-3-7.06","{SS}: INDEX.HTML","Section 10A-3-7.06 Voluntary dissolution - Filing of articles of dissolution. (a) The articles of dissolution and two copies thereof shall be delivered to the judge of probate. If the judge of probate finds that the articles of dissolution conform to law, the judge of probate shall, when all fees prescribed in this title have been paid: (1) Endorse on the articles of dissolution and on each of the copies the word ""filed,"" and the hour, day, month, and year of the filing thereof. (2) File the articles of dissolution in the office of the judge of probate and certify the two copies thereof. (3) Issue a certificate of dissolution to which the judge of probate shall affix a certified copy of the articles of dissolution, and return the certificate of dissolution with a certified copy of the articles of dissolution affixed thereto to the representative of the dissolved nonprofit corporation. (4) Within 10 days after the issuance of the certificate of dissolution, transmit to the Secretary of State a certificate of dissolution with a certified copy of the articles of dissolution attached thereto, indicating thereon the place, date, and time of filing of the statement. (b) For failure of the judge of probate to comply with the requirements of subsection (a)(4), the judge of probate shall forfeit fifty dollars ($50) to the State of Alabama to be recovered in an action by the State of Alabama. (c) Upon the issuance of the certificate of dissolution, the existence of the nonprofit corporation shall cease, except for the purpose of suits, other proceedings, and appropriate corporate action by members, directors, and officers as provided in this chapter or otherwise in this title. (Acts 1984, No. 84-290, p. 502, ss53; ss10-3A-145; amended and renumbered by Act 2009-513, p. 967, ss192.)","Probate court and Sec. of State, Ala. Code § 10A-3-7.06",,,,,,,,,,"AL-DISSOLV-VOLUNT-OT",1,"10","10","id-al-010","id-10","Voluntary Dissolutions - Other","10A-3-7-06 ;; {SS}: 10A-3-7.06 ;; {SS}: INDEX.HTML"
